"Plot66"
"Time (sec)","Acceleration27 (meter/sec**2)"
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.012,0
0.014,0
0.016,0
0.018,0
0.02,0
0.022,0
0.024,0
0.026,0
0.028,0
0.03,0
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0
0.044,0
0.046,0
0.048,0
0.05,0
0.052,0
0.054,0
0.056,0
0.058,0
0.06,0
0.062,0
0.064,0
0.066,0
0.068,0
0.07,0
0.0720000000000001,0
0.0740000000000001,0
0.0760000000000001,0
0.0780000000000001,0
0.0800000000000001,0
0.0820000000000001,0
0.0840000000000001,0
0.0860000000000001,0
0.0880000000000001,0
0.0900000000000001,0
0.0920000000000001,0
0.0940000000000001,0
0.0960000000000001,0
0.0980000000000001,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0
0.11,0
0.112,0
0.114,0
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0
0.13,0
0.132,0
0.134,0
0.136,0
0.138,0
0.14,0
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,0
0.168,0
0.17,0
0.172,0
0.174,0
0.176,0
0.178,0
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0
0.19,0
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0
0.2,9.80665
0.2002,9.80664961863474
0.202,9.67007890516072
0.204,7.72227700062536
0.206,6.87107096937787
0.208,6.84965527420107
0.21,6.83963233396234
0.212,6.83481827440649
0.214,6.8324301296565
0.216,6.83119927599903
0.218,6.83053684334876
0.22,6.83016321442636
0.222,6.82994205444081
0.224,6.82980492471669
0.226,6.82971641115717
0.228,6.82965760960043
0.23,6.82961812491024
0.232,6.82959203860888
0.234,6.82957585305234
0.236,6.82956739827318
0.238,6.82956523877805
0.24,6.82956834832823
0.242,6.82957592982346
0.244,6.82958731480587
0.246,6.82960190875285
0.248,6.82961916276396
0.25,6.82963855742917
0.252,6.82965960025715
0.254,6.82968182083157
0.256,6.82970477317672
0.258,6.82972803815599
0.26,6.82975122443756
0.262,6.82977397237773
0.264,6.82979595561932
0.266,6.82981687669114
0.268,6.82983648169819
0.27,6.82985454693835
0.272,6.82987088600399
0.274,6.82988534734471
0.276,6.82989781402354
0.278,6.82990820282738
0.28,6.82991646198509
0.282,6.82992256951744
0.284,6.82992653163667
0.286,6.82992838024665
0.288,6.8299281702193
0.29,6.82992597796812
0.292,6.82992189763981
0.294,6.82991603905745
0.296,6.82990852590705
0.298,6.82989949232858
0.3,6.82988908152578
0.302,6.82987744226097
0.304,6.82986472762443
0.306,6.8298510929005
0.308,6.82983669394878
0.31,6.82982168450372
0.312,6.82980621649051
0.314,6.82979043628222
0.316,6.82977448553726
0.318,6.82975849984747
0.32,6.82974260681698
0.322,6.82972692690146
0.324,6.82971157146311
0.326,6.82969664347168
0.328,6.82968223663481
