"Plot68"
"Time (sec)","Linear Acceleration6 (meter/sec**2)"
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.012,0
0.014,0
0.016,0
0.018,0
0.02,0
0.022,0
0.024,0
0.026,0
0.028,0
0.03,0
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0
0.044,0
0.046,0
0.048,0
0.05,0
0.052,0
0.054,0
0.056,0
0.058,0
0.06,0
0.062,0
0.064,0
0.066,0
0.068,0
0.07,0
0.0720000000000001,0
0.0740000000000001,0
0.0760000000000001,0
0.0780000000000001,0
0.0800000000000001,0
0.0820000000000001,0
0.0840000000000001,0
0.0860000000000001,0
0.0880000000000001,0
0.0900000000000001,0
0.0920000000000001,0
0.0940000000000001,0
0.0960000000000001,0
0.0980000000000001,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0
0.11,0
0.112,0
0.114,0
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0
0.13,0
0.132,0
0.134,0
0.136,0
0.138,0
0.14,0
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,0
0.168,0
0.17,0
0.172,0
0.174,0
0.176,0
0.178,0
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0
0.19,0
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0
0.2,0
0.2002,13.8686968614894
0.202,13.6686164342409
0.204,10.7143944214365
0.206,9.20800958551114
0.208,9.33381322372399
0.21,9.41331850231255
0.212,9.46778931653528
0.214,9.50682623618117
0.216,9.53565124744469
0.218,9.55741657266244
0.22,9.5741633608503
0.222,9.58724244813519
0.224,9.59760905836282
0.226,9.6058671781413
0.228,9.61275442755834
0.23,9.61834164343814
0.232,9.62297580625646
0.234,9.62692521830937
0.236,9.63029837780417
0.238,9.63312678694298
0.24,9.63563131647626
0.242,9.63781636705534
0.244,9.63973802420476
0.246,9.64143559808084
0.248,9.64298755336655
0.25,9.64431298207842
0.252,9.64554905972042
0.254,9.64666879379311
0.256,9.64767452093222
0.258,9.64860169557465
0.26,9.64943600763618
0.262,9.65021634258314
0.264,9.65104693460395
0.266,9.65154395682915
0.268,9.65215999282177
0.27,9.65272080494548
0.272,9.65324518936647
0.274,9.65372419913146
0.276,9.65415665336504
0.278,9.65456117499222
0.28,9.65493806263888
0.282,9.65527785888667
0.284,9.6555885900653
0.286,9.65587821167434
0.288,9.65613456477409
0.29,9.65638303869883
0.292,9.65661583320929
0.294,9.65681492272138
0.296,9.65700023603836
0.298,9.65715722885673
0.3,9.65732099054189
0.302,9.65746384124231
0.304,9.65758429775904
0.306,9.65768450815801
0.308,9.65779163913884
0.31,9.65786958632231
0.312,9.65797120710117
0.314,9.65804672461771
0.316,9.65809409854908
0.318,9.65816182326172
0.32,9.65819675601977
0.322,9.65825197842787
0.324,9.65828273114265
0.326,9.65831649184462
0.328,9.65832831008173
