"Plot67"
"Time (sec)","Linear Acceleration5 (meter/sec**2)"
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.012,0
0.014,0
0.016,0
0.018,0
0.02,0
0.022,0
0.024,0
0.026,0
0.028,0
0.03,0
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0
0.044,0
0.046,0
0.048,0
0.05,0
0.052,0
0.054,0
0.056,0
0.058,0
0.06,0
0.062,0
0.064,0
0.066,0
0.068,0
0.07,0
0.0720000000000001,0
0.0740000000000001,0
0.0760000000000001,0
0.0780000000000001,0
0.0800000000000001,0
0.0820000000000001,0
0.0840000000000001,0
0.0860000000000001,0
0.0880000000000001,0
0.0900000000000001,0
0.0920000000000001,0
0.0940000000000001,0
0.0960000000000001,0
0.0980000000000001,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0
0.11,0
0.112,0
0.114,0
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0
0.13,0
0.132,0
0.134,0
0.136,0
0.138,0
0.14,0
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,0
0.168,0
0.17,0
0.172,0
0.174,0
0.176,0
0.178,0
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0
0.19,0
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0
0.2,9.80665
0.2002,9.80664959697972
0.202,9.66500742264047
0.204,7.48406433556891
0.206,6.18286478850106
0.208,6.37198268348652
0.21,6.48673759867083
0.212,6.56338623037912
0.214,6.61758288492658
0.216,6.65735690338347
0.218,6.68732997615593
0.22,6.71039045062733
0.222,6.72842430590648
0.224,6.74273877525259
0.226,6.75419897499593
0.228,6.76366069196397
0.23,6.77138871990219
0.232,6.77780791852653
0.234,6.78324342615972
0.236,6.78786924111196
0.238,6.79178130649071
0.24,6.79520252520135
0.242,6.79818031828923
0.244,6.80079156590694
0.246,6.80309447216881
0.248,6.80517076287801
0.25,6.80697724568215
0.252,6.80863301810253
0.254,6.81012963196169
0.256,6.81147938644357
0.258,6.81271713026429
0.26,6.81383950489353
0.262,6.81488142302308
0.264,6.81592565260412
0.266,6.81669066809396
0.268,6.81751726801531
0.27,6.81827872335042
0.272,6.81899160650219
0.274,6.81965169714155
0.276,6.82026005980739
0.278,6.82083220334734
0.28,6.82136980255634
0.282,6.82186713073264
0.284,6.82233123918277
0.286,6.82276894220506
0.288,6.82317222938326
0.29,6.82356037331307
0.292,6.82392827038677
0.294,6.82426326869936
0.296,6.82458050379188
0.298,6.82486980625407
0.3,6.82515713092355
0.302,6.82542259284664
0.304,6.82566542653886
0.306,6.82588752311395
0.308,6.82610884789205
0.31,6.82630340218033
0.312,6.82650981284682
0.314,6.82669210133884
0.316,6.82684891749534
0.318,6.82701557469958
0.32,6.82715381705186
0.322,6.82730226357779
0.324,6.82742853800782
0.326,6.8275526688739
