"Plot64"
"Time (sec)","Velocity30 (meter/sec)"
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.012,0
0.014,0
0.016,0
0.018,0
0.02,0
0.022,0
0.024,0
0.026,0
0.028,0
0.03,0
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0
0.044,0
0.046,0
0.048,0
0.05,0
0.052,0
0.054,0
0.056,0
0.058,0
0.06,0
0.062,0
0.064,0
0.066,0
0.068,0
0.07,0
0.0720000000000001,0
0.0740000000000001,0
0.0760000000000001,0
0.0780000000000001,0
0.0800000000000001,0
0.0820000000000001,0
0.0840000000000001,0
0.0860000000000001,0
0.0880000000000001,0
0.0900000000000001,0
0.0920000000000001,0
0.0940000000000001,0
0.0960000000000001,0
0.0980000000000001,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0
0.11,0
0.112,0
0.114,0
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0
0.13,0
0.132,0
0.134,0
0.136,0
0.138,0
0.14,0
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,0
0.168,0
0.17,0
0.172,0
0.174,0
0.176,0
0.178,0
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0
0.19,0
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0
0.2,0
0.2002,0.00196132996186347
0.202,0.0195004828289187
0.204,0.035757236202643
0.206,0.0477839487790571
0.208,0.0603485653760936
0.21,0.0732097947759532
0.212,0.0862583987375432
0.214,0.09943537593884
0.216,0.112704822795543
0.218,0.126043129340202
0.22,0.139433961126586
0.222,0.152865619659317
0.224,0.166329514856871
0.226,0.179819216924528
0.228,0.19332983680518
0.23,0.206857607364893
0.232,0.220399591024306
0.234,0.233953472273191
0.236,0.247517407756726
0.238,0.261089916321467
0.24,0.274669797278349
0.242,0.288256069306007
0.244,0.301847924025448
0.246,0.315444690538216
0.248,0.329045808039669
0.25,0.342650804604524
0.252,0.356259280417016
0.254,0.369870894658843
0.256,0.383485355022011
0.258,0.397102409306623
0.26,0.410721838679735
0.262,0.424343452177916
0.264,0.437967082235335
0.266,0.451592581103966
0.268,0.465219817707969
0.27,0.478848675236932
0.272,0.492479049049804
0.274,0.5061108449521
0.276,0.519743977746716
0.278,0.533378370013674
0.28,0.547013951089513
0.282,0.560650656203058
0.284,0.574288425739152
0.286,0.58792720461574
0.288,0.601566941756478
0.29,0.615207589632162
0.292,0.628849103878904
0.294,0.642491442967161
0.296,0.656134567912098
0.298,0.669778442031326
0.3,0.683423030728471
0.302,0.697068301314868
0.304,0.710714222848307
0.306,0.724360765993485
0.308,0.73800790289829
0.31,0.751655607092665
0.312,0.765303853386229
0.314,0.778952617795036
0.316,0.79260187746216
0.318,0.806251610588721
0.32,0.819901796380188
0.322,0.833552414986234
0.324,0.847203447456999
0.326,0.860854875694526
0.328,0.874506682412933
