"Plot65"
"Time (sec)","Acceleration26 (meter/sec**2)"
0,0
0.002,0
0.004,0
0.006,0
0.008,0
0.01,0
0.012,0
0.014,0
0.016,0
0.018,0
0.02,0
0.022,0
0.024,0
0.026,0
0.028,0
0.03,0
0.032,0
0.034,0
0.036,0
0.038,0
0.04,0
0.042,0
0.044,0
0.046,0
0.048,0
0.05,0
0.052,0
0.054,0
0.056,0
0.058,0
0.06,0
0.062,0
0.064,0
0.066,0
0.068,0
0.07,0
0.0720000000000001,0
0.0740000000000001,0
0.0760000000000001,0
0.0780000000000001,0
0.0800000000000001,0
0.0820000000000001,0
0.0840000000000001,0
0.0860000000000001,0
0.0880000000000001,0
0.0900000000000001,0
0.0920000000000001,0
0.0940000000000001,0
0.0960000000000001,0
0.0980000000000001,0
0.1,0
0.102,0
0.104,0
0.106,0
0.108,0
0.11,0
0.112,0
0.114,0
0.116,0
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0
0.128,0
0.13,0
0.132,0
0.134,0
0.136,0
0.138,0
0.14,0
0.142,0
0.144,0
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0
0.166,0
0.168,0
0.17,0
0.172,0
0.174,0
0.176,0
0.178,0
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0
0.19,0
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0
0.2,-9.80665
0.2002,-9.80664961863473
0.202,-9.66915834169427
0.204,-7.34278415606337
0.206,-5.29741970280959
0.208,-5.13246251767527
0.21,-5.02246969736892
0.212,-4.94852496428196
0.214,-4.89823471364158
0.216,-4.86347827463571
0.218,-4.83893484928343
0.22,-4.82111854042644
0.222,-4.80774625529371
0.224,-4.79732335813734
0.226,-4.78887241018898
0.228,-4.78175414690139
0.23,-4.77555294728018
0.232,-4.76999803294209
0.234,-4.76491415149341
0.236,-4.76018881923042
0.238,-4.75575050246725
0.24,-4.75155390137841
0.242,-4.74757138926553
0.244,-4.74378637564108
0.246,-4.74018942322534
0.248,-4.73677546001761
0.25,-4.73354240209668
0.252,-4.73048937708711
0.254,-4.72761658013716
0.256,-4.72492449963093
0.258,-4.72241356954705
0.26,-4.72008411751418
0.262,-4.71793605867575
0.264,-4.715968871525
0.266,-4.71418205472705
0.268,-4.71257391894482
0.27,-4.71114279840113
0.272,-4.70988644416681
0.274,-4.70880220944757
0.276,-4.70788702412888
0.278,-4.70713739865543
0.28,-4.70654950677404
0.282,-4.7061192016721
0.284,-4.70584201512143
0.286,-4.70571320791626
0.288,-4.7057278256437
0.29,-4.7058806576496
0.292,-4.70616635775639
0.294,-4.70657944203445
0.296,-4.70711426948907
0.298,-4.70776513785023
0.3,-4.70852624061635
0.302,-4.70939178280247
0.304,-4.71035594070258
0.306,-4.711412894682
0.308,-4.71255683248366
0.31,-4.71378205077152
0.312,-4.71508282667484
0.314,-4.71645363279693
0.316,-4.71788898857248
0.318,-4.71938349787991
